id,state,abbr,bachelorDegreeAndAbove,lessBachelorDegree,lessHighSchoolDegree,obese,AlwaysWearSeatbelt
1,Alabama,AL,23.5,76.5,15.3,33.5,87.2
2,Alaska,AK,28,72,7.1,29.7,84.1
3,Arizona,AZ,27.6,72.4,13.9,28.9,85.5
4,Arkansas,AR,21.4,78.6,14.7,35.9,82.4
5,California,CA,31.7,68.3,17.9,24.7,93.7
6,Colorado,CO,38.3,61.7,9.5,21.3,85.1
7,Connecticut,CT,38,62,9.9,26.3,89.2
8,Delaware,DE,30.6,69.4,11,30.7,92
9,District of Columbia,DC,55,45,9.8,21.7,87.2
10,Florida,FL,27.3,72.7,12.8,26.2,87.3
11,Georgia,GA,29.1,70.9,14.4,30.5,88.7
12,Hawaii,HI,31,69,8.3,22.1,93.7
13,Idaho,ID,25,75,9.9,28.9,75.5
14,Illinois,IL,32.8,67.2,11.8,29.3,88.5
15,Indiana,IN,24.7,75.3,11.6,32.7,85.2
16,Iowa,IA,27.7,72.3,7.9,30.9,85.3
17,Kansas,KS,31.5,68.5,9.7,31.3,79.2
18,Kentucky,KY,22.2,77.8,15.5,31.6,83.1
19,Louisiana,LA,22.9,77.1,16.4,34.9,89.7
20,Maine,ME,29.4,70.6,8.3,28.2,83.9
21,Maryland,MD,38.2,61.8,10.4,29.6,91.4
22,Massachusetts,MA,41.2,58.8,10.3,23.3,81.9
23,Michigan,MI,27.4,72.6,10.1,30.7,87.7
24,Minnesota,MN,34.3,65.7,7.4,27.6,89.3
25,Mississippi,MS,21.1,78.9,17.2,35.5,81.4
26,Missouri,MO,27.5,72.5,11.1,30.2,78
27,Montana,MT,29.3,70.7,7.4,26.4,72.1
28,Nebraska,NE,29.5,70.5,9.7,30.2,72.4
29,Nevada,NV,23.1,76.9,14.9,27.7,88.7
30,New Hampshire,NH,35,65,7.8,27.4,69.7
31,New Jersey,NJ,37.4,62.6,10.9,26.9,89.4
32,New Mexico,NM,26.4,73.6,15.8,28.4,90.8
33,New York,NY,34.5,65.5,14.3,27,87.2
34,North Carolina,NC,28.7,71.3,13.6,29.7,92.6
35,North Dakota,ND,27.4,72.6,7.8,32.2,69.7
36,Ohio,OH,26.6,73.4,10.6,32.6,81.1
37,Oklahoma,OK,24.2,75.8,12.7,33,83.1
38,Oregon,OR,30.8,69.2,10.3,27.9,92.6
39,Pennsylvania,PA,29,71,10.6,30.2,76.9
40,Rhode Island,RI,30.4,69.6,14.2,27,86.9
41,South Carolina,SC,26.3,73.7,13.9,32.1,88.2
42,South Dakota,SD,27.8,72.2,8.3,29.8,63.3
43,Tennessee,TN,25.3,74.7,14.2,31.2,85.2
44,Texas,TX,27.8,72.2,17.8,31.9,91
45,Utah,UT,31.1,68.9,8.6,25.7,80.3
46,Vermont,VT,34.9,65.1,8,24.8,84.1
47,Virginia,VA,36.7,63.3,11.5,28.5,87.2
48,Washington,WA,33.1,66.9,9.6,27.3,92.2
49,West Virginia,WV,19.2,80.8,14.8,35.7,83.2
50,Wisconsin,WI,28.4,71.6,8.6,31.2,80.4
51,Wyoming,WY,26.6,73.4,7.4,29.5,71.2
